unified_customer_id,full_name,city,age,hdbank_customer_id,vietjetair_customer_id,hdbank_segment,preferred_channel,monthly_income,credit_score,has_credit_card,membership_tier,home_airport,email_opt_in,shared_customer,has_hdbank,has_vietjetair
U-0027,Bui Vy,Ho Chi Minh City,26,CUS-0027,CUS-0027,SALARY_PLUS,APP,34000000.00,709,false,SKYJOY_GOLD,DAD,true,true,true,true
U-0028,Vu Tuan,Nha Trang,41,CUS-0028,CUS-0028,AFFLUENT,SMS,88000000.00,696,false,SKYJOY_RED,HAN,true,true,true,true
U-0029,Tran Tuan,Ha Noi,39,CUS-0029,CUS-0029,EMERGING_AFFLUENT,APP,109000000.00,707,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0030,Hoang Bao,Ho Chi Minh City,62,CUS-0030,CUS-0030,YOUNG_FAMILY,SMS,23000000.00,620,true,SKYJOY_RED,DAD,true,true,true,true
U-0031,Vu Tuan,Nha Trang,49,CUS-0031,CUS-0031,AFFLUENT,APP,106000000.00,658,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0032,Phan Dung,Ho Chi Minh City,41,CUS-0032,CUS-0032,EMERGING_AFFLUENT,SMS,119000000.00,840,true,SKYJOY_RED,HAN,true,true,true,true
U-0033,Huynh Tuan,Can Tho,61,CUS-0033,CUS-0033,SALARY_PLUS,BRANCH,48000000.00,661,false,SKYJOY_GOLD,PQC,true,true,true,true
U-0034,Huynh Phuc,Nha Trang,37,CUS-0034,CUS-0034,EMERGING_AFFLUENT,APP,107000000.00,647,true,SKYJOY_RED,PQC,true,true,true,true
U-0035,Vu Minh,Da Nang,36,CUS-0035,CUS-0035,SALARY_PLUS,APP,42000000.00,722,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0036,Dang Ngoc,Nha Trang,56,CUS-0036,CUS-0036,EMERGING_AFFLUENT,BRANCH,32000000.00,686,true,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0037,Bui Phuc,Da Nang,42,CUS-0037,CUS-0037,YOUNG_FAMILY,APP,83000000.00,649,true,SKYJOY_RED,DAD,true,true,true,true
U-0038,Phan An,Hai Phong,56,CUS-0038,CUS-0038,SALARY_PLUS,APP,26000000.00,790,false,SKYJOY_GOLD,SGN,true,true,true,true
U-0039,Hoang Trang,Da Nang,48,CUS-0039,CUS-0039,EMERGING_AFFLUENT,APP,55000000.00,761,true,SKYJOY_RED,PQC,true,true,true,true
U-0040,Le Vy,Da Nang,47,CUS-0040,CUS-0040,AFFLUENT,APP,44000000.00,730,false,SKYJOY_GOLD,DAD,true,true,true,true
U-0041,Vu Hanh,Hai Phong,52,CUS-0041,CUS-0041,SALARY_PLUS,SMS,54000000.00,751,true,SKYJOY_GOLD,SGN,true,true,true,true
U-0042,Pham Lan,Ha Noi,34,CUS-0042,CUS-0042,SALARY_PLUS,APP,49000000.00,741,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0043,Bui Hanh,Nha Trang,46,CUS-0043,CUS-0043,YOUNG_FAMILY,APP,36000000.00,787,true,SKYJOY_PLATINUM,SGN,true,true,true,true
U-0044,Pham Giang,Nha Trang,55,CUS-0044,CUS-0044,YOUNG_FAMILY,APP,49000000.00,837,true,SKYJOY_RED,PQC,true,true,true,true
U-0045,Dang Linh,Can Tho,61,CUS-0045,CUS-0045,YOUNG_FAMILY,SMS,88000000.00,734,false,SKYJOY_GOLD,PQC,true,true,true,true
U-0046,Pham Khanh,Hai Phong,53,CUS-0046,CUS-0046,SALARY_PLUS,APP,27000000.00,802,true,SKYJOY_RED,DAD,false,true,true,true
U-0047,Tran Dung,Ha Noi,36,CUS-0047,CUS-0047,YOUNG_FAMILY,SMS,108000000.00,674,true,SKYJOY_RED,CXR,true,true,true,true
U-0048,Nguyen Hanh,Can Tho,46,CUS-0048,CUS-0048,AFFLUENT,SMS,115000000.00,767,true,SKYJOY_RED,DAD,true,true,true,true
U-0049,Phan Phuc,Hai Phong,56,CUS-0049,CUS-0049,SALARY_PLUS,APP,52000000.00,731,true,SKYJOY_RED,PQC,true,true,true,true
U-0050,Vu Dung,Hai Phong,56,CUS-0050,CUS-0050,AFFLUENT,BRANCH,93000000.00,764,true,SKYJOY_RED,PQC,true,true,true,true
U-0051,Vu Giang,Ho Chi Minh City,38,CUS-0051,CUS-0051,YOUNG_FAMILY,APP,76000000.00,703,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0052,Phan Khanh,Ho Chi Minh City,52,CUS-0052,CUS-0052,AFFLUENT,SMS,24000000.00,709,true,SKYJOY_RED,SGN,true,true,true,true
U-0053,Pham Hanh,Ho Chi Minh City,61,CUS-0053,CUS-0053,SALARY_PLUS,APP,78000000.00,791,true,SKYJOY_PLATINUM,PQC,true,true,true,true
U-0054,Huynh Giang,Hai Phong,60,CUS-0054,CUS-0054,AFFLUENT,SMS,38000000.00,699,true,SKYJOY_RED,DAD,true,true,true,true
U-0055,Phan Ngoc,Nha Trang,34,CUS-0055,CUS-0055,AFFLUENT,APP,98000000.00,682,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0056,Bui Bao,Da Nang,56,CUS-0056,CUS-0056,YOUNG_FAMILY,SMS,26000000.00,749,true,SKYJOY_RED,PQC,true,true,true,true
U-0057,Tran Phuc,Da Nang,62,CUS-0057,CUS-0057,YOUNG_FAMILY,SMS,73000000.00,665,true,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0058,Dang Thao,Can Tho,49,CUS-0058,CUS-0058,EMERGING_AFFLUENT,APP,49000000.00,832,false,SKYJOY_RED,PQC,true,true,true,true
U-0059,Vu Vy,Hai Phong,46,CUS-0059,CUS-0059,EMERGING_AFFLUENT,APP,59000000.00,666,true,SKYJOY_RED,DAD,true,true,true,true
U-0060,Bui Khanh,Hai Phong,22,CUS-0060,CUS-0060,SALARY_PLUS,APP,110000000.00,724,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0061,Vu Quang,Ho Chi Minh City,27,CUS-0061,CUS-0061,EMERGING_AFFLUENT,APP,106000000.00,682,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0062,Huynh Phuc,Nha Trang,57,CUS-0062,CUS-0062,EMERGING_AFFLUENT,APP,76000000.00,689,true,SKYJOY_RED,HAN,true,true,true,true
U-0063,Dang Giang,Ha Noi,35,CUS-0063,CUS-0063,YOUNG_FAMILY,APP,93000000.00,814,true,SKYJOY_RED,SGN,true,true,true,true
U-0064,Hoang Hoa,Da Nang,33,CUS-0064,CUS-0064,EMERGING_AFFLUENT,APP,86000000.00,652,true,SKYJOY_PLATINUM,CXR,true,true,true,true
U-0065,Le Thao,Ho Chi Minh City,22,CUS-0065,CUS-0065,EMERGING_AFFLUENT,APP,74000000.00,707,true,SKYJOY_RED,PQC,true,true,true,true
U-0066,Tran Ngoc,Can Tho,26,CUS-0066,CUS-0066,AFFLUENT,APP,90000000.00,697,true,SKYJOY_RED,CXR,true,true,true,true
U-0067,Bui Hoa,Hai Phong,46,CUS-0067,CUS-0067,YOUNG_FAMILY,BRANCH,56000000.00,840,true,SKYJOY_RED,CXR,true,true,true,true
U-0068,Bui Chi,Ha Noi,62,CUS-0068,CUS-0068,SALARY_PLUS,APP,28000000.00,660,true,SKYJOY_RED,HAN,true,true,true,true
U-0069,Vu Thao,Da Nang,24,CUS-0069,CUS-0069,SALARY_PLUS,APP,54000000.00,799,false,SKYJOY_RED,HAN,false,true,true,true
U-0070,Bui Hanh,Can Tho,29,CUS-0070,CUS-0070,SALARY_PLUS,APP,52000000.00,831,true,SKYJOY_RED,DAD,true,true,true,true
U-0071,Bui Lan,Can Tho,29,CUS-0071,CUS-0071,YOUNG_FAMILY,SMS,107000000.00,723,false,SKYJOY_RED,PQC,true,true,true,true
U-0072,Bui Bao,Can Tho,42,CUS-0072,CUS-0072,EMERGING_AFFLUENT,APP,47000000.00,792,false,SKYJOY_RED,SGN,false,true,true,true
U-0073,Hoang Vy,Ho Chi Minh City,33,CUS-0073,CUS-0073,YOUNG_FAMILY,APP,74000000.00,691,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0074,Vu Minh,Can Tho,43,CUS-0074,CUS-0074,EMERGING_AFFLUENT,SMS,38000000.00,704,true,SKYJOY_RED,PQC,true,true,true,true
U-0075,Dang Bao,Can Tho,27,CUS-0075,CUS-0075,EMERGING_AFFLUENT,APP,32000000.00,817,true,SKYJOY_RED,SGN,true,true,true,true
U-0076,Dang Quang,Can Tho,25,CUS-0076,CUS-0076,SALARY_PLUS,APP,97000000.00,813,true,SKYJOY_RED,SGN,true,true,true,true
U-0077,Dang Dung,Da Nang,50,CUS-0077,CUS-0077,YOUNG_FAMILY,APP,98000000.00,775,false,SKYJOY_GOLD,DAD,true,true,true,true
U-0078,Dang Phuc,Ho Chi Minh City,36,CUS-0078,CUS-0078,AFFLUENT,APP,33000000.00,785,false,SKYJOY_RED,DAD,true,true,true,true
U-0079,Hoang Phuc,Can Tho,52,CUS-0079,CUS-0079,SALARY_PLUS,APP,36000000.00,718,true,SKYJOY_GOLD,HAN,false,true,true,true
U-0080,Hoang Phuc,Da Nang,54,CUS-0080,CUS-0080,EMERGING_AFFLUENT,SMS,54000000.00,805,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0081,Vu Tuan,Can Tho,44,CUS-0081,CUS-0081,EMERGING_AFFLUENT,APP,87000000.00,716,true,SKYJOY_RED,HAN,false,true,true,true
U-0082,Pham Vy,Can Tho,36,CUS-0082,CUS-0082,YOUNG_FAMILY,APP,113000000.00,741,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0083,Le Thao,Ho Chi Minh City,30,CUS-0083,CUS-0083,EMERGING_AFFLUENT,SMS,74000000.00,645,true,SKYJOY_RED,HAN,true,true,true,true
U-0084,Le Binh,Can Tho,38,CUS-0084,CUS-0084,EMERGING_AFFLUENT,APP,68000000.00,786,true,SKYJOY_RED,CXR,true,true,true,true
U-0085,Huynh Thao,Hai Phong,24,CUS-0085,CUS-0085,AFFLUENT,APP,105000000.00,693,false,SKYJOY_GOLD,PQC,false,true,true,true
U-0086,Tran Quang,Ha Noi,41,CUS-0086,CUS-0086,AFFLUENT,APP,119000000.00,634,true,SKYJOY_RED,HAN,true,true,true,true
U-0087,Phan Vy,Nha Trang,33,CUS-0087,CUS-0087,SALARY_PLUS,APP,96000000.00,717,true,SKYJOY_RED,CXR,true,true,true,true
U-0088,Vu Khanh,Can Tho,38,CUS-0088,CUS-0088,AFFLUENT,SMS,77000000.00,693,true,SKYJOY_RED,PQC,false,true,true,true
U-0089,Bui Lan,Nha Trang,49,CUS-0089,CUS-0089,EMERGING_AFFLUENT,APP,56000000.00,670,false,SKYJOY_GOLD,SGN,true,true,true,true
U-0090,Bui Minh,Hai Phong,40,CUS-0090,CUS-0090,EMERGING_AFFLUENT,APP,102000000.00,721,true,SKYJOY_RED,SGN,false,true,true,true
U-0091,Vu Lan,Ha Noi,60,CUS-0091,CUS-0091,EMERGING_AFFLUENT,APP,42000000.00,778,true,SKYJOY_GOLD,HAN,true,true,true,true
U-0092,Nguyen Lan,Can Tho,24,CUS-0092,CUS-0092,EMERGING_AFFLUENT,SMS,29000000.00,695,true,SKYJOY_RED,HAN,true,true,true,true
U-0093,Dang Minh,Hai Phong,54,CUS-0093,CUS-0093,EMERGING_AFFLUENT,SMS,50000000.00,831,false,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0094,Huynh Chi,Can Tho,26,CUS-0094,CUS-0094,SALARY_PLUS,SMS,46000000.00,840,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0095,Dang Minh,Ho Chi Minh City,47,CUS-0095,CUS-0095,AFFLUENT,APP,33000000.00,736,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0096,Huynh Chi,Nha Trang,36,CUS-0096,CUS-0096,YOUNG_FAMILY,APP,89000000.00,703,false,SKYJOY_RED,SGN,true,true,true,true
U-0097,Vu Lan,Nha Trang,48,CUS-0097,CUS-0097,AFFLUENT,APP,22000000.00,697,false,SKYJOY_RED,HAN,false,true,true,true
U-0098,Le Ngoc,Can Tho,45,CUS-0098,CUS-0098,YOUNG_FAMILY,APP,111000000.00,659,false,SKYJOY_GOLD,PQC,true,true,true,true
U-0099,Hoang Bao,Nha Trang,45,CUS-0099,CUS-0099,SALARY_PLUS,APP,48000000.00,838,true,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0100,Huynh Bao,Can Tho,39,CUS-0100,CUS-0100,SALARY_PLUS,BRANCH,76000000.00,643,true,SKYJOY_GOLD,CXR,false,true,true,true
U-0101,Nguyen Linh,Ha Noi,30,CUS-0101,CUS-0101,SALARY_PLUS,APP,115000000.00,761,true,SKYJOY_RED,HAN,true,true,true,true
U-0102,Le An,Da Nang,31,CUS-0102,CUS-0102,SALARY_PLUS,APP,120000000.00,664,true,SKYJOY_GOLD,HAN,true,true,true,true
U-0103,Pham Vy,Da Nang,23,CUS-0103,CUS-0103,SALARY_PLUS,APP,34000000.00,809,true,SKYJOY_RED,SGN,true,true,true,true
U-0104,Huynh Trang,Hai Phong,28,CUS-0104,CUS-0104,YOUNG_FAMILY,APP,96000000.00,631,true,SKYJOY_PLATINUM,CXR,true,true,true,true
U-0105,Nguyen Bao,Can Tho,47,CUS-0105,CUS-0105,YOUNG_FAMILY,SMS,80000000.00,802,false,SKYJOY_RED,SGN,true,true,true,true
U-0106,Le Binh,Ha Noi,39,CUS-0106,CUS-0106,EMERGING_AFFLUENT,APP,94000000.00,755,true,SKYJOY_RED,PQC,true,true,true,true
U-0107,Tran Tuan,Nha Trang,35,CUS-0107,CUS-0107,YOUNG_FAMILY,APP,47000000.00,725,true,SKYJOY_RED,PQC,true,true,true,true
U-0108,Huynh Phuc,Da Nang,38,CUS-0108,CUS-0108,EMERGING_AFFLUENT,BRANCH,105000000.00,741,true,SKYJOY_GOLD,SGN,true,true,true,true
U-0109,Huynh Dung,Hai Phong,25,CUS-0109,CUS-0109,EMERGING_AFFLUENT,SMS,70000000.00,710,false,SKYJOY_PLATINUM,PQC,false,true,true,true
U-0110,Nguyen Lan,Hai Phong,41,CUS-0110,CUS-0110,EMERGING_AFFLUENT,APP,82000000.00,674,true,SKYJOY_RED,SGN,true,true,true,true
U-0111,Dang Minh,Ho Chi Minh City,39,CUS-0111,CUS-0111,SALARY_PLUS,SMS,89000000.00,816,false,SKYJOY_GOLD,CXR,true,true,true,true
U-0112,Hoang An,Ha Noi,39,CUS-0112,CUS-0112,EMERGING_AFFLUENT,BRANCH,62000000.00,621,true,SKYJOY_RED,PQC,true,true,true,true
U-0113,Nguyen Binh,Nha Trang,55,CUS-0113,CUS-0113,SALARY_PLUS,APP,76000000.00,707,true,SKYJOY_RED,DAD,true,true,true,true
U-0114,Bui Binh,Ho Chi Minh City,31,CUS-0114,CUS-0114,SALARY_PLUS,SMS,24000000.00,792,true,SKYJOY_RED,PQC,true,true,true,true
U-0115,Vu Phuc,Da Nang,35,CUS-0115,CUS-0115,AFFLUENT,APP,32000000.00,692,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0116,Nguyen Hoa,Can Tho,60,CUS-0116,CUS-0116,AFFLUENT,APP,56000000.00,674,false,SKYJOY_GOLD,DAD,true,true,true,true
U-0117,Nguyen Thao,Nha Trang,49,CUS-0117,CUS-0117,SALARY_PLUS,APP,86000000.00,800,true,SKYJOY_RED,DAD,true,true,true,true
U-0118,Nguyen Phuc,Ho Chi Minh City,51,CUS-0118,CUS-0118,AFFLUENT,SMS,91000000.00,729,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0119,Phan An,Da Nang,32,CUS-0119,CUS-0119,YOUNG_FAMILY,SMS,64000000.00,642,true,SKYJOY_RED,PQC,true,true,true,true
U-0120,Dang Binh,Can Tho,41,CUS-0120,CUS-0120,EMERGING_AFFLUENT,APP,117000000.00,663,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0121,Huynh Minh,Nha Trang,31,CUS-0121,CUS-0121,SALARY_PLUS,APP,50000000.00,670,true,SKYJOY_RED,SGN,true,true,true,true
U-0122,Vu Quang,Hai Phong,59,CUS-0122,CUS-0122,YOUNG_FAMILY,SMS,90000000.00,784,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0123,Tran Thao,Can Tho,62,CUS-0123,CUS-0123,EMERGING_AFFLUENT,SMS,93000000.00,634,true,SKYJOY_RED,PQC,true,true,true,true
U-0124,Nguyen Minh,Da Nang,26,CUS-0124,CUS-0124,AFFLUENT,APP,82000000.00,718,true,SKYJOY_RED,SGN,true,true,true,true
U-0125,Bui Hanh,Da Nang,60,CUS-0125,CUS-0125,YOUNG_FAMILY,APP,25000000.00,735,true,SKYJOY_PLATINUM,DAD,false,true,true,true
U-0126,Tran Trang,Nha Trang,33,CUS-0126,CUS-0126,AFFLUENT,APP,74000000.00,732,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0127,Hoang Ngoc,Can Tho,43,CUS-0127,CUS-0127,AFFLUENT,SMS,100000000.00,705,true,SKYJOY_RED,PQC,true,true,true,true
U-0128,Bui Dung,Da Nang,27,CUS-0128,CUS-0128,SALARY_PLUS,BRANCH,57000000.00,787,true,SKYJOY_RED,CXR,true,true,true,true
U-0129,Tran Lan,Hai Phong,46,CUS-0129,CUS-0129,EMERGING_AFFLUENT,SMS,103000000.00,799,false,SKYJOY_GOLD,CXR,true,true,true,true
U-0130,Phan Trang,Da Nang,23,CUS-0130,CUS-0130,EMERGING_AFFLUENT,APP,45000000.00,707,false,SKYJOY_RED,HAN,false,true,true,true
U-0131,Le Binh,Da Nang,28,CUS-0131,CUS-0131,AFFLUENT,SMS,116000000.00,778,true,SKYJOY_RED,HAN,true,true,true,true
U-0132,Bui Giang,Nha Trang,50,CUS-0132,CUS-0132,AFFLUENT,APP,104000000.00,804,true,SKYJOY_RED,DAD,true,true,true,true
U-0133,Vu Hoa,Hai Phong,37,CUS-0133,CUS-0133,EMERGING_AFFLUENT,BRANCH,118000000.00,740,false,SKYJOY_RED,CXR,false,true,true,true
U-0134,Vu Lan,Can Tho,54,CUS-0134,CUS-0134,YOUNG_FAMILY,BRANCH,43000000.00,825,true,SKYJOY_GOLD,SGN,true,true,true,true
U-0135,Huynh Tuan,Ho Chi Minh City,55,CUS-0135,CUS-0135,AFFLUENT,APP,115000000.00,661,true,SKYJOY_PLATINUM,HAN,true,true,true,true
U-0136,Tran Hoa,Can Tho,44,CUS-0136,CUS-0136,AFFLUENT,APP,68000000.00,748,true,SKYJOY_RED,SGN,true,true,true,true
U-0137,Nguyen Linh,Ho Chi Minh City,43,CUS-0137,CUS-0137,SALARY_PLUS,APP,54000000.00,832,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0138,Nguyen Binh,Ho Chi Minh City,38,CUS-0138,CUS-0138,SALARY_PLUS,SMS,88000000.00,806,true,SKYJOY_RED,DAD,true,true,true,true
U-0139,Tran Bao,Ha Noi,48,CUS-0139,CUS-0139,YOUNG_FAMILY,APP,81000000.00,772,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0140,Le Lan,Can Tho,22,CUS-0140,CUS-0140,EMERGING_AFFLUENT,APP,71000000.00,667,true,SKYJOY_RED,DAD,true,true,true,true
U-0141,Dang Tuan,Hai Phong,54,CUS-0141,CUS-0141,AFFLUENT,APP,78000000.00,631,true,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0142,Huynh Binh,Da Nang,37,CUS-0142,CUS-0142,AFFLUENT,SMS,112000000.00,813,true,SKYJOY_RED,CXR,true,true,true,true
U-0143,Le Quang,Nha Trang,52,CUS-0143,CUS-0143,SALARY_PLUS,SMS,26000000.00,803,false,SKYJOY_RED,DAD,true,true,true,true
U-0144,Pham Bao,Da Nang,41,CUS-0144,CUS-0144,YOUNG_FAMILY,BRANCH,87000000.00,741,true,SKYJOY_GOLD,HAN,true,true,true,true
U-0145,Nguyen Linh,Da Nang,29,CUS-0145,CUS-0145,EMERGING_AFFLUENT,APP,69000000.00,810,true,SKYJOY_PLATINUM,DAD,false,true,true,true
U-0146,Vu Thao,Da Nang,55,CUS-0146,CUS-0146,EMERGING_AFFLUENT,SMS,111000000.00,728,true,SKYJOY_GOLD,HAN,true,true,true,true
U-0147,Huynh Chi,Ho Chi Minh City,42,CUS-0147,CUS-0147,EMERGING_AFFLUENT,APP,95000000.00,803,true,SKYJOY_GOLD,DAD,true,true,true,true
U-0148,Huynh Phuc,Da Nang,62,CUS-0148,CUS-0148,AFFLUENT,APP,99000000.00,723,true,SKYJOY_GOLD,HAN,false,true,true,true
U-0149,Le Quang,Ho Chi Minh City,30,CUS-0149,CUS-0149,AFFLUENT,APP,100000000.00,713,true,SKYJOY_PLATINUM,SGN,true,true,true,true
U-0150,Vu Minh,Da Nang,50,CUS-0150,CUS-0150,AFFLUENT,APP,85000000.00,713,true,SKYJOY_GOLD,HAN,false,true,true,true
U-0151,Nguyen Giang,Can Tho,55,CUS-0151,CUS-0151,YOUNG_FAMILY,BRANCH,33000000.00,687,false,SKYJOY_GOLD,HAN,false,true,true,true
U-0152,Hoang Thao,Ha Noi,29,CUS-0152,CUS-0152,SALARY_PLUS,SMS,75000000.00,664,false,SKYJOY_RED,SGN,true,true,true,true
U-0153,Huynh Minh,Nha Trang,26,CUS-0153,CUS-0153,EMERGING_AFFLUENT,SMS,38000000.00,802,true,SKYJOY_GOLD,HAN,true,true,true,true
U-0154,Dang Hoa,Ho Chi Minh City,34,CUS-0154,CUS-0154,SALARY_PLUS,APP,81000000.00,626,true,SKYJOY_RED,PQC,true,true,true,true
U-0155,Dang Dung,Hai Phong,27,CUS-0155,CUS-0155,AFFLUENT,APP,109000000.00,804,true,SKYJOY_RED,PQC,true,true,true,true
U-0156,Tran Dung,Da Nang,26,CUS-0156,CUS-0156,YOUNG_FAMILY,APP,84000000.00,708,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0157,Le Dung,Can Tho,54,CUS-0157,CUS-0157,AFFLUENT,SMS,84000000.00,659,true,SKYJOY_RED,HAN,true,true,true,true
U-0158,Dang Lan,Ho Chi Minh City,38,CUS-0158,CUS-0158,SALARY_PLUS,APP,88000000.00,690,true,SKYJOY_RED,CXR,true,true,true,true
U-0159,Le Vy,Hai Phong,31,CUS-0159,CUS-0159,SALARY_PLUS,SMS,110000000.00,774,true,SKYJOY_PLATINUM,SGN,true,true,true,true
U-0160,Nguyen Binh,Ho Chi Minh City,58,CUS-0160,CUS-0160,EMERGING_AFFLUENT,SMS,116000000.00,766,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0161,Dang Lan,Nha Trang,41,CUS-0161,CUS-0161,YOUNG_FAMILY,APP,105000000.00,723,true,SKYJOY_RED,SGN,true,true,true,true
U-0162,Phan Thao,Can Tho,35,CUS-0162,CUS-0162,EMERGING_AFFLUENT,APP,58000000.00,840,true,SKYJOY_GOLD,DAD,false,true,true,true
U-0163,Le Minh,Hai Phong,57,CUS-0163,CUS-0163,AFFLUENT,APP,77000000.00,651,true,SKYJOY_RED,SGN,true,true,true,true
U-0164,Phan Phuc,Ha Noi,32,CUS-0164,CUS-0164,EMERGING_AFFLUENT,BRANCH,110000000.00,700,true,SKYJOY_RED,CXR,true,true,true,true
